date,close,imp30,imp60,imp90,imp120
1/3/2005,4.5243,57.95,53.26,49.8,44.67
1/4/2005,4.5671,59.73,54.336,50.475,44.738
1/5/2005,4.6071,57.73,53.278,49.319,43.906
1/6/2005,4.6107,57.44,52.276,48.604,43.534
1/7/2005,4.9464,57.79,52.656,48.771,44.671
1/10/2005,4.9264,60.35,52.961,50.198,46.21
1/11/2005,4.6071,54.47,52.638,50.059,46.449
1/12/2005,4.6757,53.57,51.882,49.609,46.162
1/13/2005,4.9857,44.07,43.991,43.886,42.034
1/14/2005,5.0143,40.4,41.392,42.626,41.169
1/18/2005,5.0493,39.98,42.015,43.805,41.555
1/19/2005,4.9914,39.46,41.83,43.765,41.737
1/20/2005,5.0329,38.73,42.185,44.896,42.444
1/21/2005,5.0379,35.5,39.968,43.468,42.587
1/24/2005,5.0543,36.69,40.332,43.77,42.409
1/25/2005,5.1464,35.99,39.941,44.803,42.559
1/26/2005,5.1607,35.38,40.317,45.115,42.822
1/27/2005,5.1886,33.48,40.08,44.704,42.641
1/28/2005,5.2843,33.28,39.513,44.629,42.948
1/31/2005,5.4929,35.81,41.74,45.768,43.101
2/1/2005,5.5379,35.75,41.509,44.818,42.531
2/2/2005,5.6879,36.06,41.604,44.331,42.207
2/3/2005,5.5543,36.77,42.609,44.797,42.371
2/4/2005,5.6336,35.07,42.513,44.622,42.249
2/7/2005,5.6429,36.55,43.228,44.311,42.188
2/8/2005,5.7786,37.81,43.011,43.776,41.883
2/9/2005,5.6321,39.77,44.391,44.676,42.65
2/10/2005,5.5971,37.23,44.135,44.618,42.751
2/11/2005,5.8007,37.05,44.13,44.168,42.117
2/14/2005,6.0479,39.66,47.322,45.735,42.359
2/15/2005,6.315,47.35,50.615,48.668,44.386
2/16/2005,6.4371,47.73,51.106,49.618,46.047
2/17/2005,6.2721,46.33,49.956,49.015,46.508
2/18/2005,6.2007,45.11,49.905,49.089,46.82
2/22/2005,6.0921,45.47,50.458,49.53,46.986
2/23/2005,6.2993,44.21,49.825,49.075,46.78
2/24/2005,6.3521,43.36,48.39,47.249,44.563
2/25/2005,6.3564,41.98,46.491,45.251,42.918
2/28/2005,6.4086,42.96,46.984,45.331,42.392
3/1/2005,6.3571,42.96,46.838,45.201,42.214
3/2/2005,6.31,42.89,46.364,44.987,42.412
3/3/2005,5.9729,49.33,51.996,49.842,45.758
3/4/2005,6.1157,45.71,49.702,47.496,44.065
3/7/2005,6.1071,49.46,51.276,48.602,44.325
3/8/2005,5.7871,55.44,53.645,51.116,46.184
3/9/2005,5.6214,58.89,56.648,53.632,47.969
3/10/2005,5.7014,60.04,58.2,55.827,50.274
3/11/2005,5.7529,58.61,56.339,53.522,48.14
3/14/2005,5.7629,58.44,56.177,53.677,49.001
3/15/2005,5.8514,55.39,53.458,51.391,47.898
3/16/2005,5.8814,57.72,54.952,52.088,48.093
3/17/2005,6.0357,56.27,53.231,50.094,46.864
3/18/2005,6.1371,55.74,52.823,49.81,46.79
3/21/2005,6.25,53.09,49.4,48.197,47.066
3/22/2005,6.1186,53.56,49.54,48.53,47.302
3/23/2005,6.0743,53.68,48.808,47.816,46.448
3/24/2005,6.0714,51.02,46.049,45.654,44.953
3/28/2005,6.0757,52.88,46.183,46.038,45.736
3/29/2005,5.9643,52.53,45.698,45.657,45.444
3/30/2005,6.1143,50.87,45.009,45.269,44.769
3/31/2005,5.9529,52.15,45.62,45.915,45.027
4/1/2005,5.8514,52.17,46.044,46.246,45.298
4/4/2005,5.8471,54.72,47.638,47.256,46.216
4/5/2005,5.9843,49.35,49.033,48.377,47.331
4/6/2005,6.0471,47.51,47.466,47.385,46.813
4/7/2005,6.2229,46.6,46.827,47.235,46.772
4/8/2005,6.2543,47.82,47.752,47.633,47.14
4/11/2005,5.9871,54.03,52.538,50.334,47.973
4/12/2005,6.1029,53.16,51.71,49.66,46.385
4/13/2005,5.8586,55.22,52.661,49.217,45.746
4/14/2005,5.3257,43.52,44.406,45.546,43.115
4/15/2005,5.0457,43.02,43.901,44.989,42.803
4/18/2005,5.0886,39.5,41.194,44.648,42.671
4/19/2005,5.2957,36.19,38.533,43.395,40.758
4/20/2005,5.0714,40.27,40.618,44.858,42.559
4/21/2005,5.3129,36.68,39.773,44.38,43.239
4/22/2005,5.0714,41.76,43.173,46.441,45.286
4/25/2005,5.2857,40.94,43.922,46.826,45.642
4/26/2005,5.17,40.22,43.999,46.931,46.708
4/27/2005,5.1314,40.4,43.719,46.731,46.101
4/28/2005,5.0771,40.33,43.808,46.199,44.775
4/29/2005,5.1514,39.95,43.522,45.56,44.17
5/2/2005,5.2029,40.42,43.859,45.385,43.9
5/3/2005,5.1729,39.1,43.997,46.097,45.569
5/4/2005,5.3114,36.54,42.233,44.667,44.81
5/5/2005,5.2457,36.54,42.368,44.922,45.244
5/6/2005,5.3186,35.39,41.692,44.192,44.323
5/9/2005,5.2814,37.22,43.271,44.739,44.5
5/10/2005,5.2029,39.18,43.719,44.965,44.764
5/11/2005,5.0843,37.99,43.591,44.772,44.505
5/12/2005,4.8886,41.06,45.467,45.953,44.9
5/13/2005,4.9671,39.19,45.073,45.465,44.205
5/16/2005,5.0729,37.3,45.089,44.656,43.216
5/17/2005,5.0529,37.68,45.028,44.558,42.994
5/18/2005,5.12,36.5,44.058,43.706,42.509
5/19/2005,5.3643,37.57,44.793,44.28,42.919
5/20/2005,5.37,35.57,43.897,43.719,43.028
5/23/2005,5.68,36.51,44.363,43.905,42.616
5/24/2005,5.6729,38.18,45.758,45.032,43.184
5/25/2005,5.6786,36.15,44.726,44.22,42.929
5/26/2005,5.82,36.29,45.206,44.69,43.277
5/27/2005,5.7957,35.56,44.944,44.489,43.304
5/31/2005,5.6729,39.18,45.49,44.695,42.728
6/1/2005,5.7571,39.49,45.575,44.753,42.768
6/2/2005,5.7243,40.02,45.2,44.454,42.715
6/3/2005,5.4629,44.18,47.728,46.692,44.789
6/6/2005,5.4171,48.4,51.079,49.137,45.351
6/7/2005,5.22,51.9,50.528,48.589,44.903
6/8/2005,5.2743,51.37,50.018,48.192,44.268
6/9/2005,5.3786,50.58,49.275,47.584,43.678
6/10/2005,5.1171,51.04,49.51,47.619,43.89
6/13/2005,5.1286,52.19,50.098,47.785,43.346
6/14/2005,5.1429,51.42,49.43,47.307,43.139
6/15/2005,5.3043,50.16,48.16,46.089,42.492
6/16/2005,5.4243,48.5,46.812,45.066,41.998
6/17/2005,5.4671,48.67,46.841,44.955,41.815
6/20/2005,5.3729,47.07,41.668,41.75,40.884
6/21/2005,5.4079,45.68,40.77,40.649,39.947
6/22/2005,5.5071,44.61,40.091,40.559,40.451
6/23/2005,5.5429,44.63,39.564,40.475,40.335
6/24/2005,5.3943,45.37,39.7,40.473,40.359
6/27/2005,5.3,45.47,40.303,40.896,40.463
6/28/2005,5.33,45.2,40.391,41.081,40.69
6/29/2005,5.1957,46.47,40.629,41.158,40.672
6/30/2005,5.2586,46.79,40.86,41.061,40.364
7/1/2005,5.2143,44.55,40.261,40.762,40.03
7/5/2005,5.4257,41.55,41.671,41.91,40.907
7/6/2005,5.3414,41.22,41.194,41.151,40.323
7/7/2005,5.38,41.74,41.694,41.615,40.94
7/8/2005,5.4643,40.27,40.474,40.829,40.174
7/11/2005,5.4414,42.17,41.914,41.541,40.477
7/12/2005,5.4629,41.75,41.728,41.702,40.278
7/13/2005,5.48,41.55,41.562,41.572,40.2
7/14/2005,5.8214,33.97,35.953,38.513,38.455
7/15/2005,5.9357,31.28,34.195,37.807,37.956
7/18/2005,5.9271,29.81,30.51,36.144,37.289
7/19/2005,6.1757,30.01,31.172,35.98,36.8
7/20/2005,6.2329,30.39,31.365,36.334,36.784
7/21/2005,6.1843,31.16,32.213,36.924,37.352
7/22/2005,6.2857,30.16,32.12,37.392,37.212
7/25/2005,6.2586,31.41,33.713,37.828,37.601
7/26/2005,6.2329,30.93,33.734,37.029,37.585
7/27/2005,6.2843,29.68,33.219,37.333,37.487
7/28/2005,6.2571,29.42,33.257,37.513,37.333
7/29/2005,6.0929,29.83,33.494,37.924,37.374
8/1/2005,6.1,31.01,34.407,37.988,37.442
8/2/2005,6.1771,30,34.114,38.046,37.475
8/3/2005,6.1743,30.22,34.199,37.813,37.345
8/4/2005,6.0929,29.32,34.371,38.01,37.574
8/5/2005,6.1386,29.05,34.29,37.983,37.543
8/8/2005,6.1014,28.65,34.626,38.177,38.307
8/9/2005,6.26,29.49,34.666,37.619,37.199
8/10/2005,6.1971,29.37,35.082,37.863,37.123
8/11/2005,6.2857,29.31,35.4,37.994,37.307
8/12/2005,6.5893,32.54,37.31,38.91,37.854
8/15/2005,6.8143,37.54,41.175,41.554,39.962
8/16/2005,6.6071,37.38,42.302,42.678,40.866
8/17/2005,6.7357,36.49,42.238,42.584,40.931
8/18/2005,6.6143,36.87,43.411,43.624,41.864
